#0   ,  1   ,  2     , 3     , 4     , 5     , 6     , 7     , 8     , 9     , 10    , 11    , 12    , 13    , 14    , 15    , 16    , 17    , 18    , 19    , 20    , 21    , 22    , 23    , 24    , 25
#####,  flow,  ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----  , ----
#####,  ----,  dly000, dly000, dly000, dly000, dly000, dly000, dly020, dly020, dly020, dly020, dly020, dly020, dly050, dly050, dly050, dly050, dly050, dly050, dly100, dly100, dly100, dly100, dly100, dly100
#####,  ----,  pkt064, pkt064, pkt064, pkt128, pkt128, pkt128, pkt064, pkt064, pkt064, pkt128, pkt128, pkt128, pkt064, pkt064, pkt064, pkt128, pkt128, pkt128, pkt064, pkt064, pkt064, pkt128, pkt128, pkt128
#####,  ----,  1thrd , 2thrd , 4thrd , 1thrd , 2thrd , 4thrd , 1thrd , 2thrd , 4thrd , 1thrd , 2thrd , 4thrd , 1thrd , 2thrd , 4thrd , 1thrd , 2thrd , 4thrd , 1thrd , 2thrd , 4thrd , 1thrd , 2thrd , 4thrd
01,     0100,  000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000009, 000018, 000031, 000000, 000000, 000000
02,     0099,  000067, 000068, 000066, 000097, 000095, 000093, 000039, 000054, 000066, 000054, 000091, 000093, 000017, 000034, 000056, 000032, 000064, 000096, 000010, 000019, 000033, 000015, 000031, 000051
03,     0099,  000069, 000068, 000067, 000097, 000096, 000094, 000038, 000060, 000067, 000058, 000092, 000095, 000019, 000036, 000060, 000031, 000068, 000096, 000011, 000018, 000032, 000016, 000031, 000058
04,     0098,  000069, 000069, 000067, 000097, 000096, 000094, 000038, 000063, 000068, 000057, 000092, 000095, 000020, 000033, 000063, 000032, 000063, 000096, 000009, 000019, 000032, 000017, 000030, 000053
05,     0096,  000069, 000070, 000067, 000097, 000096, 000094, 000039, 000062, 000068, 000057, 000092, 000095, 000017, 000036, 000061, 000033, 000064, 000097, 000010, 000019, 000032, 000015, 000030, 000058
06,     0095,  000071, 000071, 000069, 000097, 000096, 000094, 000042, 000064, 000069, 000055, 000091, 000095, 000018, 000034, 000061, 000034, 000061, 000096, 000010, 000020, 000033, 000018, 000030, 000056
07,     0093,  000071, 000072, 000070, 000097, 000096, 000094, 000038, 000063, 000070, 000058, 000091, 000095, 000018, 000035, 000066, 000031, 000067, 000096, 000011, 000019, 000033, 000018, 000031, 000054
08,     0090,  000073, 000074, 000071, 000097, 000096, 000094, 000038, 000065, 000071, 000060, 000090, 000095, 000018, 000035, 000063, 000031, 000068, 000097, 000011, 000019, 000035, 000015, 000030, 000058
09,     0087,  000076, 000077, 000073, 000097, 000096, 000094, 000040, 000068, 000073, 000059, 000091, 000095, 000017, 000039, 000065, 000033, 000069, 000097, 000012, 000020, 000036, 000016, 000030, 000055
10,     0084,  000078, 000080, 000076, 000097, 000096, 000094, 000040, 000068, 000075, 000057, 000091, 000095, 000018, 000039, 000067, 000031, 000062, 000097, 000012, 000021, 000035, 000016, 000029, 000055
11,     0081,  000080, 000083, 000079, 000097, 000096, 000094, 000046, 000071, 000078, 000055, 000092, 000095, 000021, 000039, 000069, 000031, 000066, 000096, 000012, 000023, 000038, 000017, 000031, 000058
12,     0078,  000084, 000086, 000082, 000097, 000096, 000094, 000045, 000073, 000082, 000059, 000091, 000095, 000023, 000040, 000071, 000034, 000063, 000096, 000012, 000021, 000039, 000018, 000030, 000057
13,     0074,  000088, 000090, 000085, 000097, 000096, 000094, 000043, 000076, 000085, 000059, 000091, 000095, 000021, 000042, 000074, 000032, 000064, 000096, 000012, 000024, 000040, 000018, 000029, 000054
14,     0070,  000092, 000095, 000089, 000097, 000096, 000094, 000050, 000076, 000089, 000056, 000091, 000095, 000024, 000045, 000079, 000031, 000059, 000097, 000014, 000025, 000043, 000017, 000030, 000054
15,     0066,  000098, 000099, 000095, 000097, 000096, 000094, 000051, 000080, 000094, 000057, 000092, 000095, 000025, 000049, 000082, 000032, 000062, 000096, 000015, 000026, 000045, 000015, 000029, 000055
16,     0062,  000100, 000100, 000100, 000097, 000096, 000094, 000057, 000087, 000098, 000062, 000092, 000095, 000028, 000050, 000086, 000030, 000058, 000097, 000015, 000029, 000047, 000016, 000031, 000057
17,     0058,  000100, 000100, 000100, 000097, 000096, 000094, 000058, 000093, 000100, 000063, 000093, 000095, 000027, 000058, 000095, 000028, 000061, 000096, 000016, 000031, 000050, 000016, 000031, 000056
18,     0054,  000100, 000100, 000100, 000097, 000096, 000094, 000058, 000096, 000100, 000060, 000093, 000095, 000028, 000058, 000098, 000033, 000062, 000099, 000018, 000036, 000055, 000017, 000031, 000056
19,     0050,  000100, 000100, 000100, 000099, 000099, 000097, 000061, 000099, 000100, 000061, 000094, 000096, 000031, 000063, 000100, 000034, 000063, 000100, 000020, 000034, 000060, 000018, 000031, 000057
20,     0047,  000100, 000100, 000100, 000100, 000100, 000100, 000069, 000099, 000100, 000065, 000098, 000100, 000037, 000068, 000100, 000037, 000067, 000099, 000021, 000037, 000065, 000019, 000034, 000059
21,     0043,  000100, 000100, 000100, 000100, 000100, 000100, 000077, 000100, 000100, 000068, 000100, 000100, 000035, 000075, 000100, 000043, 000078, 000100, 000022, 000042, 000069, 000019, 000034, 000065
22,     0039,  000100, 000100, 000100, 000100, 000100, 000100, 000079, 000100, 000100, 000072, 000100, 000100, 000038, 000081, 000100, 000046, 000080, 000100, 000024, 000048, 000075, 000021, 000037, 000066
23,     0036,  000100, 000100, 000100, 000100, 000100, 000100, 000087, 000100, 000100, 000077, 000100, 000100, 000045, 000082, 000100, 000048, 000090, 000100, 000025, 000052, 000085, 000023, 000039, 000072
24,     0033,  000100, 000100, 000100, 000100, 000100, 000100, 000094, 000100, 000100, 000084, 000100, 000100, 000049, 000089, 000100, 000053, 000094, 000100, 000030, 000055, 000093, 000024, 000043, 000079
25,     0030,  000100, 000100, 000100, 000100, 000100, 000100, 000098, 000100, 000100, 000093, 000100, 000100, 000046, 000096, 000100, 000058, 000096, 000100, 000033, 000055, 000097, 000027, 000047, 000087
26,     0027,  000100, 000100, 000100, 000100, 000100, 000100, 000099, 000100, 000100, 000098, 000100, 000100, 000050, 000097, 000100, 000063, 000100, 000100, 000036, 000067, 000100, 000030, 000052, 000096
27,     0025,  000100, 000100, 000100, 000100, 000100, 000100, 000097, 000100, 000100, 000099, 000100, 000100, 000064, 000100, 000100, 000072, 000100, 000100, 000040, 000069, 000100, 000033, 000059, 000100
28,     0023,  000100, 000100, 000100, 000100, 000100, 000100, 000099, 000100, 000100, 000099, 000100, 000100, 000070, 000100, 000100, 000077, 000100, 000100, 000043, 000074, 000100, 000040, 000058, 000100
29,     0022,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000076, 000100, 000100, 000085, 000100, 000100, 000047, 000078, 000100, 000043, 000064, 000100
30,     0021,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000074, 000100, 000100, 000085, 000100, 000100, 000050, 000086, 000100, 000048, 000078, 000100
31,     0020,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000077, 000100, 000100, 000089, 000100, 000100, 000051, 000084, 000100, 000047, 000080, 000100
32,     0020,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000086, 000100, 000100, 000092, 000100, 000100, 000049, 000085, 000100, 000051, 000082, 000100
33,     0020,  000099, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000084, 000100, 000100, 000087, 000100, 000100, 000050, 000085, 000100, 000047, 000082, 000100
34,     0020,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000090, 000100, 000100, 000090, 000100, 000100, 000052, 000088, 000100, 000044, 000082, 000100
35,     0021,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000094, 000100, 000100, 000089, 000099, 000100, 000045, 000080, 000100, 000043, 000080, 000100
36,     0022,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000099, 000100, 000090, 000100, 000100, 000085, 000100, 000099, 000043, 000078, 000100, 000046, 000085, 000100
37,     0024,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000099, 000100, 000100, 000100, 000083, 000100, 000100, 000078, 000099, 000100, 000050, 000072, 000100, 000040, 000077, 000100
38,     0026,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000084, 000100, 000100, 000074, 000100, 000100, 000043, 000069, 000100, 000037, 000071, 000100
39,     0028,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000071, 000100, 000100, 000065, 000100, 000100, 000038, 000064, 000100, 000038, 000062, 000100
40,     0030,  000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000100, 000072, 000100, 000100, 000064, 000100, 000100, 000037, 000057, 000100, 000037, 000059, 000100
41,     0033,  000100, 000100, 000100, 000100, 000100, 000100, 000098, 000100, 000100, 000099, 000100, 000099, 000062, 000100, 000100, 000061, 000100, 000100, 000033, 000053, 000099, 000034, 000061, 000100
42,     0037,  000100, 000100, 000100, 000100, 000099, 000100, 000098, 000100, 000100, 000088, 000100, 000099, 000064, 000098, 000100, 000049, 000096, 000099, 000032, 000051, 000094, 000029, 000052, 000098
43,     0040,  000100, 000100, 000099, 000100, 000099, 000100, 000096, 000100, 000100, 000085, 000100, 000100, 000057, 000095, 000099, 000047, 000086, 000100, 000027, 000043, 000084, 000027, 000051, 000092
44,     0043,  000100, 000100, 000100, 000100, 000100, 000100, 000090, 000100, 000100, 000081, 000099, 000100, 000051, 000087, 000100, 000043, 000081, 000099, 000026, 000042, 000077, 000025, 000041, 000086
45,     0047,  000100, 000100, 000100, 000100, 000100, 000100, 000092, 000100, 000100, 000069, 000099, 000099, 000043, 000084, 000100, 000040, 000077, 000099, 000025, 000036, 000071, 000021, 000039, 000077
46,     0051,  000099, 000100, 000100, 000100, 000100, 000100, 000085, 000100, 000100, 000067, 000100, 000100, 000040, 000074, 000100, 000036, 000065, 000099, 000023, 000035, 000069, 000021, 000039, 000074
47,     0055,  000100, 000100, 000100, 000100, 000100, 000100, 000075, 000099, 000100, 000057, 000099, 000100, 000039, 000066, 000100, 000035, 000060, 000099, 000020, 000031, 000061, 000020, 000034, 000066
48,     0059,  000099, 000100, 000100, 000100, 000099, 000099, 000071, 000099, 000100, 000053, 000097, 000099, 000035, 000060, 000099, 000034, 000058, 000096, 000019, 000028, 000058, 000018, 000029, 000060
49,     0063,  000100, 000099, 000100, 000097, 000096, 000096, 000065, 000099, 000100, 000056, 000091, 000097, 000034, 000057, 000099, 000035, 000056, 000096, 000018, 000026, 000053, 000018, 000029, 000057
50,     0067,  000099, 000100, 000099, 000097, 000096, 000094, 000062, 000095, 000100, 000054, 000090, 000095, 000029, 000052, 000099, 000035, 000054, 000096, 000015, 000026, 000048, 000016, 000031, 000055
51,     0071,  000099, 000096, 000098, 000097, 000096, 000094, 000061, 000095, 000099, 000054, 000090, 000094, 000028, 000049, 000095, 000034, 000054, 000096, 000015, 000024, 000046, 000017, 000031, 000054
52,     0075,  000095, 000091, 000093, 000097, 000096, 000094, 000056, 000090, 000096, 000053, 000090, 000095, 000030, 000051, 000089, 000034, 000054, 000096, 000014, 000023, 000043, 000018, 000031, 000054
53,     0078,  000090, 000087, 000088, 000097, 000096, 000094, 000052, 000088, 000091, 000056, 000093, 000095, 000024, 000051, 000084, 000034, 000057, 000096, 000013, 000022, 000041, 000018, 000030, 000054
54,     0082,  000086, 000083, 000084, 000097, 000096, 000094, 000047, 000084, 000087, 000057, 000091, 000095, 000024, 000045, 000083, 000032, 000060, 000096, 000013, 000023, 000039, 000018, 000029, 000055
55,     0085,  000083, 000080, 000080, 000097, 000096, 000094, 000047, 000073, 000083, 000055, 000092, 000095, 000024, 000042, 000076, 000034, 000061, 000096, 000012, 000020, 000038, 000018, 000031, 000054
56,     0088,  000080, 000077, 000077, 000097, 000096, 000094, 000046, 000070, 000080, 000056, 000090, 000095, 000022, 000039, 000074, 000034, 000057, 000096, 000011, 000020, 000037, 000018, 000030, 000057
57,     0091,  000077, 000075, 000075, 000097, 000096, 000094, 000046, 000066, 000076, 000059, 000091, 000094, 000022, 000041, 000070, 000033, 000061, 000096, 000011, 000021, 000034, 000016, 000030, 000057
58,     0093,  000075, 000073, 000072, 000097, 000096, 000094, 000044, 000067, 000074, 000057, 000091, 000095, 000019, 000039, 000070, 000033, 000060, 000096, 000011, 000020, 000034, 000019, 000033, 000057
59,     0095,  000073, 000072, 000071, 000097, 000096, 000094, 000041, 000067, 000072, 000058, 000089, 000095, 000019, 000039, 000066, 000032, 000055, 000096, 000010, 000019, 000034, 000017, 000031, 000053
60,     0097,  000072, 000070, 000069, 000097, 000096, 000094, 000041, 000060, 000071, 000059, 000090, 000095, 000019, 000037, 000065, 000034, 000056, 000097, 000011, 000018, 000034, 000017, 000030, 000056
61,     0098,  000070, 000069, 000068, 000097, 000096, 000094, 000040, 000057, 000069, 000055, 000093, 000095, 000017, 000038, 000063, 000034, 000059, 000096, 000010, 000019, 000033, 000016, 000032, 000055
62,     0099,  000069, 000068, 000067, 000097, 000096, 000094, 000034, 000064, 000068, 000054, 000093, 000095, 000018, 000034, 000062, 000034, 000060, 000096, 000011, 000018, 000034, 000016, 000032, 000056
63,     0099,  000069, 000068, 000067, 000097, 000096, 000094, 000038, 000063, 000068, 000048, 000093, 000095, 000016, 000037, 000061, 000033, 000060, 000097, 000010, 000020, 000033, 000016, 000030, 000054
